Subject Code,Faculty Code,Subject Name,Subject Short Name,Subject Level,Subject Length,Subject Value,Status,Subject Fee,ED Subject Group Code,ED Year Level,ED Subject Code,Instruction Time,SSABSA Subject Code,SACE Stage,SACE Units,Course Name,SACE Code,FTE,TRT Days,Enrol Date,End Date,GL Account,Transaction Ref,future SACE,Result Type
0DPP,IT,DIGITAL PUBLISHING AND PRODUCTION,,10,2,,I,,08,10,IF,,,,,,,0,0,,,,,N,
0DPUB,IT,DIGITAL PUBLISHING,,10,2,,I,,08,08,ME,,,,,,,0,0,,,,,N,
0DRA,AT,DRAMA,,10,2,,I,,07,10,DR,,,,,0DRA,,0,0,,,,,N,
0DRAA,AT,DRAMA A,,10,2,,O,,07,10,DR,,,,,,,0,0,,,,,N,
0DRAB,AT,DRAMA B,,10,2,,O,,07,10,DR,,,,,,,0,0,,,,,N,
0DRAF,AT,DRAMA,,10,4,,I,,07,10,DR,240,,,,0DRAF,,,,,,,,N,
0DRAS,AT,DRAMA,,10,2,,I,,07,10,DR,240,,,,0DRAS,,,,,,,,N,
0DST,EG,DIGITAL STORYTELLING,,10,2,,I,,01,10,EG,,,,,,,0,0,,,,,N,
0DTE,IT,DIGITAL TECHNOLOGY,,10,2,,O,,08,10,IF,,,,,,,0,0,,,,,N,
0DTMP,IT,MEDIA PRODUCTION,,10,2,,I,,08,10,FV,,,,,,,0,0,,,,,N,
0EALA,ED,ENGLISH AS AN ADDITIONAL LANG A,,10,4,,O,,01,10,TX,,,,,,,0,0,,,,,N,
0EALB,ED,ENGLISH AS AN ADDITIONAL LANG B,,10,4,,O,,01,10,TX,,,,,,,0,0,,,,,N,
0EARN,MA,EARNING AND BUDGETING,,10,1,,I,,03,10,MA,,,,,,,0,0,,,,,N,
0ELEF,SC,ELECTRONICS,,10,4,,I,,05,10,SC,240,,,,0ELEF,,,,,,,,N,
0ELES,SC,ELECTRONICS,,10,2,,I,,05,10,SC,240,,,,0ELES,,,,,,,,N,
0ENG,EG,ENGLISH,,10,4,,I,,01,10,EG,,,,,,,0,0,,,,,N,
0ENG1,EG,ENGLISH,,10,2,,I,,01,10,EG,240,,,,0ENG1,,0,0,,,,,N,
0ENG2,EG,ENGLISH,,10,2,,I,,01,10,EG,,,,,0ENG2,,0,0,,,,,N,
0ENGL,EG,ENGLISH,,10,4,,O,,01,10,EG,,,,,,,0,0,,,,,N,
0ENGO,EG,ENGLISH,,10,4,,O,,01,10,EG,,,,,,,0,0,,,,,N,
0ENGP,EG,ENGLISH,,10,4,,O,,01,10,EG,,,,,,,0,0,,,,,N,
0ENGX,EG,ENGLISH,,10,4,,I,,01,10,EG,,,,,0ENGX,,0,0,,,,,N,
0ENGY,EG,ENGLISH,,10,4,,I,,01,10,EG,,,,,,,0,0,,,,,N,
0ENGZ,EG,ENGLISH,,10,4,,I,,01,10,EG,,,,,,,0,0,,,,,N,
0ENTC,IT,ENGINEERING TECHNOLOGY,,10,2,,O,,08,10,IF,,,,,,,0,0,,,,,N,
0ENTEC,IT,ENGINEERING TECHNOLOGY,,10,2,,O,,08,10,ET,,,,,,,0,0,,,,,N,
0ESL,ED,ENGLISH AS A SECOND LANGUAGE PHASE 5/6,,10,4,,I,,01,10,EG,,,,,,,0,0,,,,,N,
0ESL1,ED,ENGLISH AS A SECOND LANGUAGE,,10,2,,I,,01,10,EG,240,,,,0ESL1,,0,0,,,,,N,
0ESLA,ED,ENGLISH AS A SECOND LANGUAGE A,,10,4,,I,,01,10,TX,,,,,,,0,0,,,,,N,
0ESLB,ED,ENGLISH AS A SECOND LANGUAGE B,,10,4,,I,,01,10,TX,,,,,,,0,0,,,,,N,
0ESLEA,ED,ENGLISH AS A SECOND LANGUAGE A,,10,4,,I,,01,10,TX,,,,,,,0,0,,,,,N,
0ESLEB,ED,ENGLISH AS A SECOND LANGUAGE B,,10,4,,I,,01,10,TX,,,,,,,0,0,,,,,N,
0EWSK,EG,ESSAY WRITING SKILLS,,10,1,,I,,01,10,EG,,,,,,,0,0,,,,,N,
0FAN,EG,FANTASY,,10,1,,I,,01,10,EG,,,,,0FAN,,0,0,,,,,N,
0FAS,HE,FASHION & TEXTILES,,10,1,,I,,08,10,HE,,,,,0FAS,,0,0,,,,,N,
0FATF,HE,FASHION & TEXTILES,,10,4,,I,,08,10,HE,240,,,,0FATF,,,,,,,,N,
0FATS,HE,FASHION & TEXTILES,,10,2,,I,,08,10,HE,240,,,,0FATS,,,,,,,,N,
0FDINV,IT,FOOD INNOVATION,,10,2,,O,,04,10,FH,,,,,,,0,0,,,,,N,
0FINNU,MA,FINANCIAL NUMERACY,,10,2,,I,,03,10,MA,,,,,,,0,0,,,,,N,
