sub_code,sub_name
1ILGFMD,FILM/MEDIA
1ILGMD,MEDIA PRODUCTION
1ILGPWCUP,ABORIGINAL POWER CUP
1ILGSP,STAGE PRODUCTION
1ILGSS,SAASTA SHIELD
1ILNDN,DANCE
1ILNSP,STAGE PRODUCTION
1ILNSST,SAASTA SHIELD
1ILNUM,NUMERACY DEVELOPMENT
1IPPA,INFO PROCESSING & PUBLISHING
1IPR,DIGITAL PUBLISHING & PRODUCTION
1ITB,ITALIAN (BEGINNERS)
1ITC,ITALIAN
1JAC,JAPANESE
1LNKLWCL,LINK LITERACY FOR WORK AND COMMUNITY LIFE
1LNKMDLL,LINK NUMERACY FOR DAILY LIFE AND LEASURE
1LWC,LITERACY WK & COM LIFE
1LWCCUP,LITERACY CATCH UP
1LWCESL,LITERACY WORK & COM (ESL)
1LWCL,LITERACY WK & COMMUNITY LIFE
1MAM,MATHEMATICAL METHODS
1MAMM,MATHEMATICAL METHODS
1MAMSP,SPECIALIST MATHEMATICS
1MATA,MATHS PURE A
1MATB,MATHS PURE B
1MATC,MATHS PURE C
1MATD,MATHS PURE D
1MATM,MATHEMATICAL METHODS
1MCN,MATHS APPLICATIONS
1MDAMT,DESIGN TECH METAL
1MEM,ESSENTIAL MATHEMATICS
1MEMN,ESSENTIAL MATHEMATICS (NUMERACY)
1MGM,GENERAL MATHEMATICS
1MMAM,DESIGN TECH METAL
1MMAW,DESIGN TECH WOOD
1MMPFD,FOOD INNOVATION
1MMPM,DESIGN TECH METAL
1MMPW,DESIGN TECH WOOD
1MOD,MODERN HISTORY
1MPM10,MATHEMATICS: MODIFIED
1MPM102,MATHS PATHWAYS: MODIFIED
1MPM103,MATHS PATHWAYS: MODIFIED
1MPM20,MATHEMATICS: MODIFIED
1MPW,MATHS PATHWAYS
1MRSFD,FOOD INNOVATION
1MRSM,METALWORK
1MRSW,WOODWORK
1MUE,PERFORMANCE MUSIC
1MUS1,MUSIC
1MXE,PERFORMANCE MUSIC
1NUMCHUP,NUMERACY CATCH UP
1NUT,NUTRITION
1NWC,NUMERACY FOR WORK & COM LIFE
1OUED,OUTDOOR EDUCATION
1OUT,OUTDOOR EDUCATION
1PD,PERSONAL DEVELOPMENT
1PHD,PHYSICAL EDUCATION
1PHE,PHYSICAL EDUCATION
1PLM10,PLP: MODIFIED
1PLP,PERSONAL LEARNING PLAN
1PLPA,PATHWAYS
1PLPSS,PATHWAYS
1PPP,"POLITICS, POWER AND PEOPLE"
1PPS,PHILOSOPHY
1PSC,PSYCHOLOGY
1PYI,PHYSICS
1PYS,PHYSICS
1RES,ELECTRONICS & PROGRAMMING A
1SCF,SCIENTIFIC STUDIES
1SFM10,SCIENTIFIC STUDIES: MODIFIED
1SFM10B,SCIENTIFIC STUDIES: MODIFIED
1SFM20,SCIENTIFIC STUDIES: MODIFIED
1SOM10,SOCIETY & CULTURE MODIFIED
1SOM10B,SOCIETY & CULTURE: MODIFIED
1SOM20,SOCIETY & CULTURE: MODIFIED
1SOR,SOCIETY & CULTURE
1STU,SCIENTIFIC STUDIES
1VAA,ART PRACTICAL
1VAD,DESIGN PRACTICAL
1VEG1,ENGLISH
1WPS,WORKPLACE PRACTICES
2ABG,SAASTA ABORIGINAL STUDIES
2APC,ABORIGINAL POWER CUP
2BEM10,BUSINESS & ENTERPRISE: MODIFIED
2BGY,BIOLOGY
2BIG,BIOLOGY
2CARE,CARE GROUP
2CCA,DIGITAL PHOTOGRAPHY
2CEM,CHEMISTRY
2CHC20,CHINESE (CONTINUERS)
2CME,CHEMISTRY
2CSD,CHILD STUDIES
2CSD1,CHILD STUDIES
2CVAMU,CREATIVE ARTS (MUSIC)
2CVM10,CREATIVE ARTS: MODIFIED
2CVM20,CREATIVE ARTS: MODIFIED
2CVM20A,CREATIVE ARTS: MODIFIED
2CXDCE,CULTURAL EXPLORATIONS
2CXM10,CROSS DISCIPLINARY STUDIES: MODIFIED
2CXM20,CROSS DISCIPLINARY STUDIES: MODIFIED
2DAE,DANCE
2DCSDP,DIGITAL PRODUCTS
2DCSDPH,DIGITAL PHOTOGRAPHY
2DCSPH,PHOTOGRAPHY
2DGT,DIGITAL TECHNOLOGIES
2EAL,ENGLISH AS AN ADDITIONAL LANGUAGE
2ECS,ENGLISH COMMUNICATIONS
2EGA,ENGLISH AS A SECOND LANGUAGE
2ELS,ENGLISH LITERARY STUDIES
2END,ENGLISH STUDIES
2EPM10,ENGLISH PATHWAYS: MODIFIED
2EPM20,ENGLISH PATHWAYS: MODIFIED
2EPM20B,ENGLISH PATHWAYS: MODIFIED
2EPW,ENGLISH PATHWAYS
2ESH,ENGLISH
2ETE,ESSENTIAL ENGLISH
2FOH,FOOD & HOSPITALITY STUDIES
2HEH,HEALTH
2HEM10,HEALTH: MODIFIED
2HEM20,HEALTH: MODIFIED
2HEW,HEALTH AND WELLBEING
2HWM20,HEALTH & WELLBEING: MODIFIED
2IESDPR,DIGITAL PRODUCTS
2IESMW,METALWORK
2ILABGY,INTEGRATED BIOLOGY
2ILAMA,INTEGRATED LEARNING MATHS
2ILASC,INTEGRATED LEARNING SCIENCE
2ILASS,"SPORT, HEALTH & PHYSICAL ACTIVITY"
2ILBPSC,PSYCHOLOGY INTEGRATED LEARNING
2ILBPWR,POWER CUP
2ILBSP,STAGE PRODUCTION
2ILGPC,ABORIGINAL POWER CUP
2ILGSP,STAGE PRODUCTION
2ILGSS,SPORTS STUDIES
2ILHPC,POWER CUP
2ILHSA,SAASTA INTEGRATED LEARNING
2ILHSP,STAGE PRODUCTION
2ILNMTH,MATHS SKILLS FOR LIFE
2ILNPSC,INTEGRATED PSYCHOLOGY
2ILNSC,SCIENCE AND HEALTHY LIFESTYLE
2ILNST,URBAN STREET ART & COMMUNITY ART
2ILPP,POLITICAL PHILOSOPHY
2INCEM,INTEGRATED CHEMISTRY
2IPR,DIGITAL PRODUCTIONS
2IPRA,INFORMATION PROCESSING & PUBLISHING
2IPRB,INFORMATION PROCESSING & PUBLISHING
2ITB,ITALIAN (BEGINNERS)
2MBL10,ENSEMBLE PERFORMANCE
2MCG10,COMPOSING AND ARRANGING
2MCN,MATHS APPLICATIONS
2MDS,MATHEMATICAL STUDIES
2MEM,ESSENTIAL MATHEMATICS
2MEP1A,MUSIC ENSEMBLE PERFORMANCE
2MFC10,SOLO PERFORMANCE
2MGM,GENERAL MATHEMATICS
2MHD,MATHEMATICAL STUDIES
2MHS,MATHEMATICAL METHODS
2MIS1,MUSIC INDIVIDUAL STUDY
2MMAM,METALWORK
2MMAOC,OUTDOOR CONSTRUCTION
2MMAW,WOODWORK
2MPF10,PERFORMANCE SPECIAL STUDY
2MPM10,MATHS PATHWAYS: MODIFIED
2MPM20,MATHEMATICS: MODIFIED
2MPM20B,MATHS PATHWAYS: MODIFIED
2MPW,MATHS PATHWAYS
2MRSM,METALWORK
2MRSW,FURNITURE CONSTRUCTION
2MSC,SPECIALIST MATHS
2MSP1A,MUSIC SOLO PERFORMANCE
